Title,Author,ISBN,Pages,Category,Month Read
Four Futures: Life After Capitalism,Peter Frase,978-1-781688137,160,Politics,January
People of London,Peter Zelewski,978-1-910566-15-2,160,Photography,January
Python for Informatics,Charles Severance,978-1492339243,244,Computing,January
Exposure,Helen Dunmore,978-0091953942,400,Novel,January
The People In The Photo,Helen Gestern,1908313544,273,Novel,January
Jane Bown: Observer,Jane Bown,9.78187E+12,128,Photography,January
Saucy Postcards: The Bamforth Collection,Marcus Hearn,9.78147E+12,224,Reference,January
The Sea,John Banville,978-0330483292,272,Novel,Jan
Getting Started with Beautiful Soup,Vineeth G Nair,978-1-78328-955-4,130,Computing,February
Anti-Inauguration,Various,978-1-60846-865-2,40,Politics,February
The Last Painting of Sara De Vos,Dominic Smith,978-1925266184,384,Novel,February
The Muse,Jessie Burton,978-1447250975,464,Novel,February
The Girl On The Train,Paula Hawkins,978-0552779777,414,Novel,March
Utopia For Realists,Rutger Bregman,978-1408890264 85,299,Politics,March
Phaidon 55,Josef Sudek,9.78071E+12,128,Photography,March
House Of Cards,Michael Dobbs,978-0006176909,384,Novel,March
The Gustav Sonata,Rose Tremain ,978-1784700201,320,Novel,March
A Trick I Learned From Dead Men,Kitty Aldridge,978-0099570196,224,Novel,April
Shoreditch Wildlife,Dougie Wallace,978-0957699847,176,Photography,April
London Youth,Julian Mahrlein,978-1910566206,128,Photography,April
Testimonies,Patrick O'Brian,978-0006476528,224,Novel,April
Possessions,Sara Flannery Murphy,978-1911344032,368,Novel,April
David Hockney,David Hockney,978-1-84976-443-8,280,Painting,April
Urban Dirt Bikers,Spencer Murphy ,978-1910566213,128,Photography,April
Bruce Davidson Magnum Legacy,Vicki Goldberg,978-3-7913-8135-0,192,Photo Biography,May
The Handmaid's Tail,Margaret Atwood,978-0099740919,320,Novel,May
A Burnt Out Case,Graeme Greene,978-0099478430,192,Novel,May
Dodger,Terry Pratchet,978-0552563147,416,Novel,June
100 Great Street Photographs,David Gibson,978-3791383132,208,Photography,June
The Dry,Jane Harper,978-0349142111,416,Novel,July
Eleanor Oliphant Is Completely Fine,Gail Honeyman,978-0008172114,400,Novel,July
Gallows View,Peter Robinson,978-1447225430,320,Novel,July
The Adversary,Emmanuel Carrère,978-0312420604,204,Non fiction,July
Ghachar Ghochar ,Vivek Shanbhag,978-057133607-4,118,Novel,August
Ground,Bruno Stevens,978-9020992120,230,Photography,August
A Dedicated Man,Peter Robinson,978-1447225447,304,Novel,September
The Essex Serpent,Sarah Perry,978-1781255452,448,Novel,September
The Sensitist,John Paul Cleary,B074HJ235B,331,Novel,September
Wreckage,Emily Bleeker,978-1477821930,304,Novel,September
The Art of Data Science,Roger D Peng and Elizabeth Matsui,9.78137E+12,162,Data Science,October
Exploratory Data Analysis With R,Roger D Peng,9.78137E+12,198,Data Science,October
Small Town Inertia,Jim Mottram,978-1908457363,192,Photography,October
New York Waterways ,Susannah Ray,978-1-910566-27-5,120,Photography,November
The Amazing Adventures of Kavalier and CLay,Michael Chabon,978-1841154930,643,Novel,November
Disappearing Glasgow - A Photographic Journey,Chris Leslie,978-1911332497,184,Photography ,November
The Dreams of Bethany Mellmoth,William Boyd,978-0241979761,296,Novel,November
Why Photography Matters,Jerry L. Thompson ,978-0262019286,92,Photography,December